"REF_DATE","GEO","DGUID","Products and product groups","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2018-07","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","134.3","","","","1"
"2018-08","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","134.2","","","","1"
"2018-09","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","133.7","","","","1"
"2018-10","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","134.1","","","","1"
"2018-11","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","133.5","","","","1"
"2018-12","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","133.4","","","","1"
"2019-01","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","133.6","","","","1"
"2019-02","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","134.5","","","","1"
"2019-03","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","135.4","","","","1"
"2019-04","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","136.0","","","","1"
"2019-05","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","136.6","","","","1"
"2019-06","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","136.3","","","","1"
"2019-07","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","137.0","","","","1"
"2019-08","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","136.8","","","","1"
"2019-09","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","136.2","","","","1"
"2019-10","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","136.6","","","","1"
"2019-11","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","136.4","","","","1"
"2019-12","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","136.4","","","","1"
"2020-01","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","136.8","","","","1"
"2020-02","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","137.4","","","","1"
"2020-03","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","136.6","","","","1"
"2020-04","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","135.7","","","","1"
"2020-05","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","136.1","","","","1"
"2020-06","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","137.2","","","","1"
"2020-07","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","137.2","","","","1"
"2020-08","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","137.0","","","","1"
"2020-09","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","136.9","","","","1"
"2020-10","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","137.5","","","","1"
"2020-11","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","137.7","","","","1"
"2020-12","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","137.4","","","","1"
"2021-01","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","138.2","","","","1"
"2021-02","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","138.9","","","","1"
"2021-03","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","139.6","","","","1"
"2021-04","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","140.3","","","","1"
"2021-05","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","141.0","","","","1"
"2021-06","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","141.4","","","","1"
"2021-07","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","142.3","","","","1"
"2021-08","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","142.6","","","","1"
